Accuracy,Acc. StdDev,Precision Chrome,Prec. Chr. StdDev,Precision Firefox,Prec. FF. StdDev,Recall Chrome,Rec. Ch. StdDev,Recall Firefox,Rec. FF. StdDev
0.949,0.013,0.948,0.014,0.950,0.015,0.933,0.021,0.961,0.011
0.971,0.011,0.972,0.015,0.969,0.010,0.968,0.011,0.973,0.014
0.962,0.016,0.977,0.015,0.947,0.022,0.952,0.020,0.974,0.016
0.959,0.008,0.956,0.018,0.963,0.018,0.958,0.022,0.960,0.017
0.943,0.011,0.945,0.017,0.940,0.011,0.945,0.011,0.940,0.019
0.964,0.009,0.960,0.017,0.968,0.011,0.965,0.012,0.963,0.017
0.939,0.015,0.950,0.015,0.926,0.022,0.941,0.019,0.937,0.019
0.956,0.010,0.962,0.014,0.950,0.017,0.951,0.017,0.961,0.015
0.949,0.017,0.948,0.020,0.950,0.021,0.935,0.028,0.960,0.017
0.922,0.018,0.932,0.020,0.914,0.021,0.906,0.025,0.937,0.019
